name,date
Martha Stewart,2021-01-11
Willie Nelson,2021-01-13
Steve Martin,2021-01-17
Loretta Lynn,2021-01-17
Arnold Schwarzenegger,2021-01-20
Samuel L. Jackson,2021-01-23
Sean Penn,2021-01-26
Harrison Ford,2021-01-25
Jane Fonda,2021-02-01
Jeff Goldblum,2021-02-01
Paul Stanley,2021-02-16
Alice Cooper,2021-02-09
Stephen King,2021-02-06
Whoopi Goldberg,2021-03-10
Joe Biden,2021-01-11
Michelle Obama,2021-03-11
O.J. Simpson,2021-01-29
Cindy Adams,2021-01-18
Bill Gates,2021-01-22
Dan Rather,2021-01-19
David Lynch,2021-03-04
Joe Jonas,2021-04-08
Britney Spears,2021-04-08
Mariah Carey,2021-04-06
Morgan Freeman,2021-04-06
Aaron Paul,2021-04-01
Oprah Winfrey,2021-03-25
Sharon Stone,2021-03-20
Tyler Perry,2021-01-26
