Country,Total Cases,Total Deaths,Population,Area,Pop. Density,Coast/Area Ratio,Net Migration,Infant Mortality,GDP,Phones per 1000,Birthrate,Deathrate
Afghanistan,52909,2230,39367229,647500,48,0,23.06,163.07,700,3.2,46.6,20.34
Albania,59438,1193,2876196,28748,124.6,1.26,-4.93,21.52,4500,71.2,15.11,5.22
Algeria,100159,2769,44248859,2381740,13.8,0.04,-0.39,31,6000,78.1,17.14,4.61
Andorra,8166,84,77328,468,152.1,0,6.6,04.05,19000,497.2,8.71,6.25
Angola,17608,407,33374464,1246700,9.7,0.13,0,191.19,1900,7.8,45.11,24.2
Anguilla,15,0,15071,102,132.1,59.8,10.76,21.03,8600,460,14.17,5.34
Antigua and Barbuda,159,5,98339,443,156,34.54,-6.15,19.46,11000,549.9,16.93,5.37
Argentina,1634834,43375,45405556,2766890,14.4,0.18,0.61,15.18,11200,220.4,16.73,7.55
Armenia,160027,2850,2966059,29800,99.9,0,-6.47,23.28,3500,195.7,12.07,8.23
Aruba,5532,49,106996,193,372.5,35.49,0,5.89,28000,516.1,11.03,6.68
Australia,28483,909,25649272,7686850,2.6,0.34,3.98,4.69,29000,565.5,12.14,7.51
Austria,365768,6324,9032458,83870,97.7,0,2,4.66,30000,452.2,8.74,9.76
Azerbaijan,219462,2703,10185410,86600,91.9,0,-4.9,81.74,3400,137.1,20.74,9.75
Bahamas,7887,171,395144,13940,21.8,25.41,-2.2,25.21,16700,460.6,17.57,09.05
Bahrain,93184,352,1730885,665,1050.5,24.21,01.05,17.27,16900,281.3,17.8,4.14
Bangladesh,516019,7626,165518848,144000,1023.4,0.4,-0.71,62.6,1900,7.3,29.8,8.27
Barbados,395,7,287554,431,649.5,22.51,-0.31,12.5,15700,481.9,12.71,8.67
Belarus,199962,1451,9447740,207600,49.6,0,2.54,13.37,6100,319.1,11.16,14.02
Belgium,649169,19644,11615226,30528,340,0.22,1.23,4.68,29100,462.6,10.38,10.27
Belize,10807,249,401254,22966,12.5,1.68,0,25.69,4900,115.7,28.84,5.72
Benin,3251,44,12281686,112620,69.8,0.11,0,85,1100,9.7,38.85,12.22
Bermuda,622,10,62161,53,1241,194.34,2.49,8.53,36000,851.4,11.4,7.74
Bhutan,716,0,775900,47000,48.5,0,0,100.44,1300,14.3,33.65,12.7
Bolivia,162055,9186,11753293,1098580,8.2,0,-1.32,53.11,2400,71.9,23.3,7.53
Bosnia and Herzegovina,112143,4086,3270386,51129,88,0.04,0.31,21.05,6100,215.4,8.77,8.27
